n,naive,optimize,unroll
10,0.000264,0.000288,0.000184
20,0.001026,0.001126,0.000693
30,0.002302,0.002366,0.001503
40,0.004046,0.002779,0.002047
50,0.004533,0.004356,0.003126
60,0.006735,0.006397,0.00451
70,0.009603,0.008443,0.006078
80,0.012392,0.011157,0.007912
90,0.016099,0.014188,0.010163
100,0.020184,0.017425,0.012494
200,0.089508,0.069683,0.048855
300,0.223279,0.173599,0.114004
400,0.386694,0.294144,0.195514
500,0.615759,0.447016,0.303289
600,0.898076,0.644296,0.436046
700,1.41986,0.916423,0.599172
800,2.02759,1.20416,0.783706
900,3.83933,1.36262,0.87187
1000,2.74055,1.6693,1.12753
1100,5.97585,1.97287,1.31808
1200,5.21055,2.34722,1.55007
1300,6.84226,2.82661,1.83225
1400,9.81216,3.29794,2.14502
1500,12.8559,3.97038,2.62581
1600,16.6076,4.62489,3.20555
1700,18.7442,4.90117,3.24997
1800,20.9007,5.44939,3.52861
1900,22.9137,6.03025,3.94815
2000,25.3288,6.69666,4.35756
2100,28.1668,7.39364,4.93657
2200,31.8707,8.09391,5.45368
2300,35.6133,8.83778,5.87848
2400,38.9629,9.58584,6.40421
2500,42.446,10.3869,6.94279
2600,46.6008,11.2794,7.51707
2700,50.4812,12.0529,8.09133
2800,54.5402,13.0302,8.64701
2900,58.9411,13.8847,9.3213
3000,61.4415,14.7243,9.92035
3100,66.0686,15.7678,10.5497
3200,70.8766,16.7181,11.2842
3300,75.8278,17.7985,11.9565
3400,80.8208,18.8846,12.6784
3500,85.9757,19.8916,13.4342
3600,91.3648,21.0995,14.1621
3700,97.1244,22.2483,14.9714
3800,103.044,23.5014,15.7885
3900,108.611,24.7988,16.6158
4000,114.568,26.1345,17.2681
4100,116.14,27.0131,18.0462
4200,126.412,28.5426,18.9402
4300,132.954,30.0396,19.8408
4400,138.157,32.777,22.0248
4500,158.067,34.8962,23.6649
4600,160.613,35.4974,23.5826
4700,168.7,38.8384,26.0593
4800,173.99,39.33,26.5305
4900,184.983,39.9357,26.3905
5000,194.946,47.6578,29.0759
5100,198.236,46.8673,31.5056
5200,219.836,44.856,30.1493
5300,214.393,46.4231,30.6008
5400,222.668,48.9662,32.0151
5500,228.534,51.2397,33.6951
5600,242.969,55.347,37.5667
5700,253.915,58.223,37.8841
5800,276.905,57.7775,39.4543
5900,279.553,60.8791,38.3862
6000,294.484,61.2573,41.4931
6100,307.878,62.5695,42.0102
6200,206.425,79.4317,61.8466
6300,327.412,73.9,48.8214
6400,379.22,77.0131,53.1348
6500,371.905,77.6476,51.4163
6600,290.909,140.244,73.9436
6700,362.722,125.59,77.3138
6800,319.944,120.855,69.9169
6900,443.717,90.1109,58.1238
7000,419.308,120.934,78.858
7100,317.651,152.675,61.5761
7200,400.046,164.61,82.6001
7300,316.597,173.126,85.2609
7400,319.56,170.072,91.2724
7500,404.919,102.411,68.3948
7600,449.279,156.274,71.6358
7700,551.77,115.091,79.187
7800,576.835,115.807,79.0545
7900,589.89,133.906,92.1388
8000,591.386,130.02,104.753
8100,530.873,159.095,95.795
8200,596.392,123.757,82.0114
8300,604.147,150.794,114.12
8400,636.313,133.115,106.395
8500,645.854,134.515,114.773
8600,635.462,138.871,98.198
8700,790.293,141.684,95.3243
8800,768.532,144.197,98.7816
8900,726.275,143.096,96.6824
9000,815.843,163.326,102.026
9100,866.103,155.039,105.264
9200,870.46,216.553,134.687
9300,790.002,163.206,144.986
9400,870.749,164.631,133.479
9500,755.909,174.486,132.635
9600,799.567,167.63,112.253
9700,827.859,171.196,114.921
9800,844.694,172.877,121.494
9900,838.021,183.366,145.357
10000,863.693,179.692,121.64
