n,naive,optimize,unroll
10,0.0007,0.0006,0.0036
20,0.0009,0.0044,0.0009
30,0.0025,0.0032,0.0013
40,0.0036,0.0031,0.0021
50,0.0046,0.0049,0.0033
60,0.0087,0.0092,0.0046
70,0.0117,0.0281,0.0181
80,0.0277,0.0298,0.0206
90,0.0185,0.0276,0.0131
100,0.0192,0.0238,0.0164
200,0.071,0.0991,0.0763
300,0.1633,0.1712,0.1615
400,0.3932,0.33,0.1844
500,0.8747,0.5011,0.412
600,0.6912,0.7363,0.5475
700,2.4246,0.9679,0.6051
800,1.2587,1.2817,0.9758
900,1.7731,1.5977,1.211
1000,5.7759,1.9848,1.5076
1100,5.9295,2.3858,1.8213
1200,5.0021,2.9036,2.2021
1300,11.6403,3.3208,2.5168
1400,6.9235,3.7981,2.3684
1500,8.8939,4.2734,3.04
1600,15.5029,5.1031,3.3711
1700,18.9795,5.7444,3.615
1800,21.7558,6.0517,4.2
1900,21.2886,8.9468,4.4382
2000,18.3039,7.3097,5.0568
2100,29.8942,8.5507,6.3479
2200,30.1115,8.8462,5.6223
2300,22.9421,9.7854,8.7326
2400,26.636,11.2059,8.7214
2500,33.6074,14.2613,9.4894
2600,39.2429,14.8607,19.295
2700,46.9531,20.012,14.1923
2800,67.1285,17.6975,11.4539
2900,69.3422,21.584,12.8653
3000,59.1361,21.5702,14.6728
3100,57.7922,20.221,16.0722
3200,69.6686,18.3246,12.0326
3300,73.4081,19.3859,12.8175
3400,76.2653,20.4852,15.3857
3500,82.3043,21.4927,14.4043
3600,86.1098,24.193,17.2101
3700,92.9374,25.003,17.0505
3800,99.0411,25.75,16.5529
3900,102.627,26.9953,17.5641
4000,104.947,29.6724,18.644
4100,112.872,29.0077,22.3466
4200,116.77,32.6384,20.3298
4300,124.003,32.2319,22.3027
4400,130.013,38.2002,25.928
4500,146.091,38.6859,24.6914
4600,146.921,38.4406,26.248
4700,146.078,38.8084,24.7613
4800,154.136,37.4879,29.1874
4900,164.224,46.3855,27.328
5000,165.502,44.6449,29.9696
5100,172.604,45.94,32.6817
5200,197.91,48.4746,33.3557
5300,191.746,67.4615,39.773
5400,192.839,51.8654,35.4883
5500,203.348,53.8119,34.4638
5600,198.299,56.746,36.9965
5700,191.531,55.5571,38.7425
5800,204.102,58.5232,40.4793
5900,204.207,61.9169,44.7859
6000,196.465,75.2357,54.6036
6100,203.719,67.7896,50.3438
6200,206.763,72.1971,53.6978
6300,200.74,71.1878,47.9196
6400,213.048,75.9466,56.5392
6500,257.394,77.0014,54.8659
6600,263.875,80.9709,62.96
6700,238.746,81.3922,60.2838
6800,244.119,87.3439,71.002
6900,274.679,86.6294,72.7516
7000,272.146,93.548,72.6152
7100,285.276,94.8836,61.24
7200,296.906,96.1919,70.1375
7300,306.008,92.5661,64.6816
7400,352.255,100.24,72.6792
7500,354.02,96.8851,67.6692
7600,338.07,102.38,81.3354
7700,342.975,108.804,81.9766
7800,351.881,122.207,88.9334
7900,359.908,113.499,83.839
8000,365.935,119.927,82.3821
8100,386.783,129.403,85.1616
8200,451.281,122.879,96.2695
8300,406.38,127.525,97.4041
8400,428.556,124.889,81.5371
8500,474.318,133.734,92.5706
8600,450.136,133.09,95.7466
8700,457.46,137.583,100.828
8800,536.595,140.905,100.718
8900,493.407,143.178,110.85
9000,493.402,152.166,106.943
9100,525.421,148.157,102.287
9200,523.799,157.84,122.85
9300,669.404,159.191,115.86
9400,557.457,169.123,122.754
9500,586.253,179.676,133.206
9600,595.28,165.683,131.674
9700,615.593,168.962,138.481
9800,645.436,171.391,129.988
9900,619.45,179.963,125.538
10000,670.337,182.685,140.918
