n,naive,optimize,unroll
10,0.0002404,0.0001724,0.0001249
20,0.0009138,0.0009332,0.0004788
30,0.0020481,0.002196,0.0013674
40,0.0036343,0.0030918,0.0025718
50,0.0061647,0.006354,0.0035013
60,0.008243,0.0091877,0.0053473
70,0.0112546,0.0137567,0.0068858
80,0.0157208,0.0169742,0.0095278
90,0.0185701,0.0201365,0.0108515
100,0.019397,0.0178865,0.012528
200,0.0919315,0.0728333,0.0474523
300,0.194591,0.170147,0.109164
400,0.385999,0.288274,0.18725
500,0.587516,0.44762,0.297047
600,0.871318,0.59796,0.4051
700,1.28535,0.843403,0.592154
800,1.60328,1.1697,0.799793
900,2.18436,1.57281,1.07364
1000,2.76774,1.94773,1.35389
1100,3.87508,2.26661,1.62288
1200,5.56971,3.13767,2.27306
1300,8.01822,3.28431,2.35898
1400,9.24477,3.80495,2.77285
1500,12.7675,7.10061,3.58835
1600,14.1207,5.07148,3.50142
1700,15.5305,5.57359,4.08012
1800,18.0143,6.34974,4.43216
1900,21.5977,7.02083,4.99634
2000,23.4777,7.73131,5.44801
2100,23.7479,8.39012,6.0387
2200,24.3033,9.63058,9.54916
2300,34.0669,12.9904,7.56456
2400,32.9861,11.0978,10.7624
2500,33.0696,13.6239,8.7513
2600,36.4385,13.5292,9.03606
2700,41.2252,14.136,10.4177
2800,42.0104,16.4085,13.7923
2900,45.4182,15.832,11.4386
3000,50.6254,17.3714,12.7131
3100,53.6868,18.1354,13.7977
3200,59.482,22.9542,17.9742
3300,64.3574,24.459,19.3959
3400,68.3263,25.6248,20.1943
3500,71.8229,27.2026,21.3617
3600,78.1747,24.0738,16.9952
3700,79.7449,25.41,17.8481
3800,84.1868,27.1256,19.2843
3900,87.7393,28.2157,19.9064
4000,93.5802,29.781,21.0065
4100,98.0437,31.064,22.0978
4200,103.072,32.6269,23.2838
4300,108.957,34.1446,24.4413
4400,113.584,35.749,25.309
4500,118.199,37.4339,26.3
4600,123.77,39.0997,27.8249
4700,129.802,41.0004,29.2411
4800,135.262,42.6201,30.4128
4900,140.367,44.4428,31.6474
5000,147.056,46.1171,32.652
5100,152.136,48.0633,34.5953
5200,158.334,49.8911,35.4592
5300,163.716,51.4783,36.4761
5400,169.393,53.5421,38.1559
5500,175.617,55.8189,39.5015
5600,181.812,58.0468,41.3265
5700,187.589,60.2158,42.3687
5800,193.086,62.198,43.9755
5900,198.94,63.8586,45.6475
6000,204.796,66.3144,47.165
6100,210.467,68.1908,48.2956
6200,217.449,70.9359,50.4429
6300,224.252,72.9981,51.795
6400,231.617,75.5362,53.7479
6500,239.176,78.0018,54.9703
6600,245.608,79.9298,56.6431
6700,253.402,82.1545,58.4492
6800,261.229,84.7372,61.1586
6900,268.843,87.4669,61.859
7000,276.875,89.5019,63.8
7100,284.471,92.2188,66.4542
7200,294.902,94.7933,67.963
7300,304.828,97.4147,69.0694
7400,313.881,100.695,71.3302
7500,324.011,102.579,72.9344
7600,332.803,106.294,76.102
7700,345.682,108.777,77.4756
7800,358.674,111.651,78.9359
7900,367.863,114.148,80.9563
8000,378.977,117.296,83.3135
8100,389.064,120.555,85.5223
8200,400.693,123.149,87.5313
8300,413.478,126.255,90.193
8400,425.764,129.543,91.3464
8500,439.224,132.604,93.9766
8600,452.861,135.44,96.6121
8700,466.106,139.141,99.1395
8800,480.678,141.895,100.925
8900,495.776,145.112,103.74
9000,510.842,148.435,108.435
9100,525.864,151.489,107.774
9200,539.239,154.587,110.225
9300,553.13,158.576,112.819
9400,567.955,161.615,115.161
9500,583.342,165.017,117.684
9600,599.327,167.708,120.032
9700,615.191,171.533,122.619
9800,630.256,175.401,125.462
9900,645.048,178.618,127.964
10000,660.237,181.831,130.989
