n,naive,optimize_multi_link,optimize_recursion_func,optimize_recursion_nested_loop
10,0.001,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
40,0.001,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
70,0.001,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0
100,0.0,0.0,0.001,0.001
200,0.0,0.0,0.001,0.001
300,0.001,0.0,0.001,0.001
400,0.001,0.001,0.0,0.001
500,0.0,0.0,0.001,0.001
600,0.001,0.001,0.001,0.001
700,0.001,0.001,0.001,0.002
800,0.0,0.001,0.001,0.003
900,0.001,0.0,0.003,0.002
1000,0.001,0.0,0.003,0.003
1100,0.001,0.001,0.003,0.004
1200,0.001,0.001,0.003,0.003
1300,0.001,0.001,0.004,0.004
1400,0.002,0.001,0.004,0.004
1500,0.002,0.001,0.004,0.004
1600,0.001,0.002,0.004,0.004
1700,0.001,0.001,0.005,0.005
1800,0.001,0.002,0.005,0.005
1900,0.001,0.001,0.005,0.006
2000,0.002,0.001,0.006,0.006
2100,0.002,0.002,0.006,0.006
2200,0.002,0.001,0.006,0.007
2300,0.002,0.001,0.007,0.007
2400,0.002,0.002,0.007,0.007
2500,0.002,0.001,0.007,0.007
2600,0.002,0.002,0.007,0.007
2700,0.003,0.001,0.007,0.007
2800,0.002,0.002,0.008,0.008
2900,0.002,0.002,0.008,0.009
3000,0.002,0.002,0.007,0.009
3100,0.003,0.002,0.008,0.009
3200,0.002,0.002,0.008,0.01
3300,0.003,0.002,0.009,0.009
3400,0.003,0.003,0.008,0.01
3500,0.003,0.002,0.009,0.011
3600,0.003,0.002,0.01,0.01
3700,0.003,0.003,0.01,0.011
3800,0.004,0.034,0.01,0.011
3900,0.003,0.002,0.01,0.011
4000,0.004,0.003,0.01,0.012
4100,0.004,0.003,0.01,0.012
4200,0.003,0.003,0.011,0.012
4300,0.006,0.003,0.005,0.009
4400,0.01,0.004,0.005,0.006
4500,0.007,0.003,0.005,0.005
4600,0.007,0.003,0.006,0.006
4700,0.007,0.004,0.005,0.008
4800,0.007,0.004,0.006,0.009
4900,0.009,0.004,0.005,0.01
5000,0.009,0.004,0.005,0.011
5100,0.01,0.004,0.006,0.007
5200,0.01,0.004,0.006,0.008
5300,0.011,0.004,0.006,0.008
5400,0.011,0.004,0.007,0.009
5500,0.011,0.005,0.007,0.009
5600,0.012,0.004,0.008,0.009
5700,0.011,0.005,0.006,0.008
5800,0.008,0.006,0.007,0.007
5900,0.009,0.006,0.007,0.01
6000,0.009,0.004,0.006,0.007
6100,0.009,0.005,0.008,0.008
6200,0.012,0.005,0.008,0.009
6300,0.01,0.005,0.007,0.011
6400,0.009,0.006,0.007,0.013
6500,0.01,0.006,0.007,0.009
6600,0.014,0.006,0.008,0.008
6700,0.01,0.006,0.008,0.008
6800,0.011,0.006,0.008,0.011
6900,0.013,0.007,0.008,0.015
7000,0.014,0.006,0.008,0.009
7100,0.01,0.005,0.007,0.009
7200,0.014,0.006,0.008,0.012
7300,0.011,0.006,0.008,0.014
7400,0.015,0.009,0.009,0.014
7500,0.016,0.006,0.009,0.012
7600,0.012,0.007,0.009,0.01
7700,0.012,0.007,0.01,0.01
7800,0.012,0.007,0.008,0.011
7900,0.016,0.007,0.009,0.01
8000,0.015,0.006,0.009,0.01
8100,0.016,0.008,0.009,0.01
8200,0.016,0.006,0.01,0.011
8300,0.017,0.007,0.01,0.012
8400,0.012,0.007,0.01,0.01
8500,0.013,0.008,0.009,0.012
8600,0.013,0.008,0.01,0.018
8700,0.017,0.007,0.01,0.011
8800,0.017,0.007,0.01,0.012
8900,0.018,0.007,0.01,0.014
9000,0.018,0.008,0.01,0.011
9100,0.014,0.007,0.01,0.015
9200,0.013,0.007,0.011,0.015
9300,0.014,0.007,0.011,0.011
9400,0.014,0.007,0.01,0.015
9500,0.018,0.008,0.017,0.011
9600,0.014,0.007,0.011,0.014
9700,0.017,0.008,0.011,0.014
9800,0.014,0.008,0.012,0.016
9900,0.018,0.01,0.015,0.014
10000,0.018,0.008,0.015,0.013
11000,0.021,0.008,0.013,0.013
12000,0.021,0.01,0.014,0.014
13000,0.026,0.011,0.014,0.017
14000,0.028,0.011,0.016,0.019
15000,0.022,0.014,0.016,0.019
16000,0.024,0.012,0.018,0.022
17000,0.028,0.043,0.019,0.022
18000,0.028,0.014,0.021,0.021
19000,0.028,0.014,0.021,0.023
20000,0.038,0.015,0.022,0.029
21000,0.031,0.018,0.023,0.027
22000,0.032,0.019,0.024,0.029
23000,0.043,0.018,0.026,0.028
24000,0.036,0.019,0.041,0.042
25000,0.022,0.017,0.044,0.05
26000,0.023,0.017,0.045,0.045
27000,0.023,0.018,0.053,0.047
28000,0.025,0.019,0.061,0.053
29000,0.025,0.027,0.05,0.05
30000,0.026,0.03,0.052,0.052
31000,0.027,0.031,0.054,0.053
32000,0.028,0.032,0.055,0.056
33000,0.028,0.033,0.057,0.06
34000,0.029,0.034,0.065,0.065
35000,0.031,0.035,0.06,0.067
36000,0.032,0.036,0.062,0.069
37000,0.032,0.038,0.064,0.109
38000,0.043,0.043,0.07,0.116
39000,0.038,0.043,0.074,0.116
40000,0.036,0.041,0.076,0.117
41000,0.036,0.042,0.109,0.12
42000,0.037,0.043,0.112,0.128
43000,0.039,0.045,0.12,0.124
44000,0.039,0.044,0.117,0.12
45000,0.039,0.045,0.119,0.122
46000,0.04,0.046,0.126,0.123
47000,0.041,0.048,0.129,0.127
48000,0.042,0.048,0.128,0.14
49000,0.043,0.05,0.136,0.144
50000,0.043,0.051,0.135,0.146
51000,0.044,0.051,0.134,0.149
52000,0.045,0.052,0.144,0.152
53000,0.046,0.053,0.147,0.155
54000,0.047,0.054,0.149,0.159
55000,0.047,0.056,0.145,0.162
56000,0.049,0.056,0.148,0.164
57000,0.051,0.058,0.152,0.169
58000,0.05,0.059,0.155,0.173
59000,0.053,0.059,0.157,0.173
60000,0.052,0.063,0.177,0.072
61000,0.097,0.046,0.065,0.071
62000,0.114,0.047,0.067,0.072
63000,0.109,0.048,0.068,0.096
64000,0.117,0.051,0.07,0.078
65000,0.112,0.05,0.075,0.086
66000,0.12,0.056,0.077,0.084
67000,0.121,0.06,0.084,0.087
68000,0.116,0.059,0.08,0.087
69000,0.122,0.058,0.078,0.087
70000,0.115,0.057,0.077,0.096
71000,0.107,0.055,0.079,0.092
72000,0.109,0.055,0.078,0.089
73000,0.143,0.056,0.081,0.087
74000,0.122,0.057,0.08,0.093
75000,0.131,0.059,0.102,0.097
76000,0.125,0.059,0.085,0.093
77000,0.149,0.059,0.087,0.09
78000,0.151,0.061,0.085,0.096
79000,0.126,0.075,0.091,0.102
80000,0.136,0.066,0.093,0.101
81000,0.147,0.065,0.089,0.096
82000,0.122,0.062,0.091,0.099
83000,0.13,0.064,0.09,0.102
84000,0.133,0.065,0.094,0.102
85000,0.148,0.065,0.094,0.103
86000,0.144,0.068,0.094,0.106
87000,0.164,0.066,0.094,0.109
88000,0.164,0.067,0.098,0.113
89000,0.135,0.067,0.097,0.107
90000,0.162,0.067,0.099,0.115
91000,0.135,0.073,0.111,0.109
92000,0.148,0.072,0.104,0.116
93000,0.138,0.072,0.106,0.112
94000,0.169,0.073,0.105,0.126
95000,0.173,0.08,0.108,0.116
96000,0.167,0.083,0.114,0.12
97000,0.171,0.083,0.109,0.124
98000,0.168,0.076,0.106,0.124
99000,0.177,0.081,0.109,0.12
100000,0.164,0.077,0.109,0.127
110000,0.196,0.084,0.129,0.136
120000,0.186,0.096,0.133,0.153
130000,0.229,0.105,0.158,0.153
140000,0.267,0.111,0.156,0.165
150000,0.24,0.112,0.169,0.172
160000,0.279,0.125,0.179,0.196
170000,0.301,0.13,0.185,0.199
180000,0.327,0.145,0.197,0.21
190000,0.307,0.145,0.212,0.228
200000,0.34,0.151,0.235,0.239
210000,0.329,0.164,0.232,0.253
220000,0.345,0.172,0.264,0.293
230000,0.417,0.201,0.271,0.308
240000,0.412,0.182,0.274,0.294
250000,0.405,0.189,0.301,0.298
260000,0.43,0.201,0.29,0.293
270000,0.462,0.205,0.305,0.31
280000,0.46,0.219,0.38,0.328
290000,0.475,0.219,0.336,0.341
300000,0.507,0.226,0.327,0.366
310000,0.503,0.25,0.339,0.355
320000,0.49,0.245,0.359,0.384
330000,0.561,0.302,0.371,0.386
340000,0.617,0.299,0.414,0.391
350000,0.585,0.292,0.415,0.426
360000,0.568,0.273,0.415,0.432
370000,0.621,0.307,0.442,0.455
380000,0.64,0.288,0.456,0.438
390000,0.63,0.306,0.471,0.477
400000,0.632,0.303,0.449,0.467
410000,0.652,0.311,0.445,0.578
420000,0.71,0.324,0.502,0.475
430000,0.752,0.367,0.492,0.514
440000,0.677,0.339,0.545,0.502
450000,0.743,0.344,0.564,0.569
460000,0.79,0.384,0.573,0.521
470000,0.755,0.357,0.58,0.689
480000,0.825,0.436,0.565,0.595
490000,0.901,0.432,0.609,0.604
500000,0.84,0.403,0.615,0.629
510000,0.841,0.387,0.613,0.599
520000,0.828,0.407,0.603,0.597
530000,1.02,0.527,0.744,0.724
540000,0.918,0.433,0.613,0.706
550000,0.926,0.439,0.63,0.697
560000,0.964,0.463,0.691,0.697
570000,0.951,0.447,0.693,0.671
580000,0.991,0.587,1.203,1.339
590000,0.518,0.788,1.184,1.11
600000,0.596,0.492,0.711,0.835
610000,1.035,0.48,0.735,0.727
620000,1.002,0.589,0.821,0.998
630000,0.742,0.555,1.692,1.297
640000,0.799,0.535,0.771,0.802
650000,1.108,0.52,2.521,1.171
660000,0.961,0.647,1.455,0.803
670000,1.178,0.571,0.781,0.811
680000,1.231,0.59,1.243,1.378
690000,0.618,0.513,1.105,1.795
700000,1.008,0.616,1.697,1.383
710000,0.684,0.999,1.468,1.271
720000,0.665,0.996,1.324,2.097
730000,0.964,1.001,1.75,1.39
740000,0.737,1.077,1.753,1.38
750000,0.681,1.043,1.994,2.014
760000,0.787,1.174,1.807,1.482
770000,0.862,1.097,2.236,1.439
780000,0.995,1.446,2.115,2.287
790000,0.88,1.128,2.527,1.15
800000,1.382,0.77,2.157,2.139
810000,1.064,0.815,1.517,1.634
820000,0.857,1.093,1.871,1.518
830000,1.339,1.473,1.519,1.71
840000,0.926,1.308,1.683,1.74
850000,0.829,1.289,1.949,2.768
860000,1.556,0.779,1.009,1.076
870000,1.614,0.778,1.028,1.125
880000,1.677,1.087,1.765,1.054
890000,1.526,0.773,1.032,1.163
900000,1.592,0.783,1.112,1.116
910000,1.931,0.858,1.962,1.763
920000,1.692,0.856,1.185,1.236
930000,1.573,0.96,2.014,2.492
940000,1.643,0.864,1.116,1.237
950000,1.719,0.835,1.123,1.166
960000,1.51,2.003,2.083,2.019
970000,1.022,1.149,1.844,1.826
980000,1.006,1.756,2.595,2.019
990000,1.03,1.102,1.882,2.072
1000000,0.969,1.29,2.571,2.191
