n,naive,optimize_multi_link,optimize_recursion_func,optimize_recursion_nested_loop
10,0.0,0.0001,0.0001,0.0
20,0.0,0.0,0.0001,0.0001
30,0.0,0.0,0.0001,0.0001
40,0.0001,0.0001,0.0001,0.0001
50,0.0082,0.0001,0.0001,0.0002
60,0.0001,0.0001,0.0002,0.0002
70,0.0001,0.0001,0.0001,0.0002
80,0.0002,0.0001,0.0002,0.0003
90,0.0002,0.0001,0.0002,0.0002
100,0.0002,0.0001,0.0002,0.0003
200,0.0005,0.0003,0.0005,0.0005
300,0.0007,0.0004,0.0008,0.0008
400,0.0008,0.0006,0.0011,0.0012
500,0.0011,0.0007,0.0013,0.0014
600,0.0013,0.0008,0.0015,0.0018
700,0.0015,0.0009,0.0018,0.002
800,0.0017,0.001,0.002,0.0023
900,0.0019,0.0012,0.0022,0.0026
1000,0.0022,0.0012,0.0024,0.0029
1100,0.0023,0.0013,0.0027,0.0032
1200,0.0026,0.0014,0.0029,0.0034
1300,0.0027,0.0015,0.0032,0.0038
1400,0.003,0.0016,0.0036,0.004
1500,0.0032,0.0018,0.0036,0.0041
1600,0.0034,0.0019,0.0039,0.0047
1700,0.0036,0.002,0.0042,0.0049
1800,0.0038,0.0021,0.0045,0.0052
1900,0.004,0.0022,0.0047,0.0055
2000,0.0043,0.0023,0.0048,0.0058
2100,0.0045,0.0025,0.0051,0.006
2200,0.0047,0.0026,0.0055,0.0063
2300,0.005,0.0027,0.0056,0.0066
2400,0.0051,0.0028,0.0059,0.0069
2500,0.0053,0.0029,0.0061,0.0072
2600,0.0056,0.003,0.0063,0.0075
2700,0.0058,0.0032,0.0069,0.0084
2800,0.0049,0.0023,0.0042,0.0053
2900,0.0056,0.0026,0.0043,0.0055
3000,0.0052,0.0028,0.0043,0.0053
3100,0.0047,0.0023,0.0032,0.0044
3200,0.0043,0.0025,0.0032,0.0048
3300,0.0045,0.0025,0.0033,0.0058
3400,0.0048,0.0027,0.0038,0.0064
3500,0.0053,0.0034,0.004,0.0062
3600,0.0056,0.003,0.0042,0.0065
3700,0.0061,0.0032,0.0042,0.0064
3800,0.006,0.003,0.0041,0.0064
3900,0.0063,0.0033,0.0046,0.0063
4000,0.0064,0.0033,0.0047,0.0062
4100,0.0068,0.0034,0.0048,0.0063
4200,0.0065,0.0033,0.0047,0.0067
4300,0.0063,0.0033,0.0049,0.0067
4400,0.007,0.0036,0.005,0.007
4500,0.0075,0.0036,0.005,0.0086
4600,0.007,0.0041,0.0052,0.0075
4700,0.0075,0.0037,0.0055,0.007
4800,0.0077,0.0039,0.0054,0.0071
4900,0.0072,0.004,0.0054,0.0082
5000,0.0075,0.004,0.0058,0.0085
5100,0.0075,0.0041,0.0058,0.0078
5200,0.0084,0.0043,0.0059,0.0098
5300,0.0083,0.0044,0.0061,0.009
5400,0.0084,0.0044,0.0061,0.0086
5500,0.0081,0.0044,0.0062,0.0082
5600,0.0087,0.0049,0.0067,0.0086
