n,naive,optimize_multi_link,optimize_recursion_func,optimize_recursion_nested_loop
10,1.613e-05,1.297e-05,3.133e-05,2.214e-05
20,3.66e-05,2.184e-05,5.031e-05,4.011e-05
30,6.173e-05,3.399e-05,6.066e-05,6.041e-05
40,8.593e-05,4.531e-05,9.418e-05,8.752e-05
50,0.00010729,5.533e-05,0.0001151,0.00011058
60,0.00013235,5.614e-05,0.00013321,0.00011824
70,7.409e-05,8.212e-05,0.00013962,0.00016233
80,0.00017823,9.325e-05,0.00018943,0.00019275
90,0.00019977,0.00010457,0.00021892,0.00021301
100,0.00010491,0.00011854,0.00020846,0.00024794
200,0.00020471,0.00016953,0.00046849,0.00038134
300,0.00040261,0.00025266,0.00056111,0.00054161
400,0.00056297,0.00033549,0.00085964,0.001133
500,0.00056362,0.00044668,0.00133156,0.00077686
600,0.00083241,0.00053029,0.0009025,0.00121913
700,0.00071256,0.00058083,0.00115819,0.0012341
800,0.00124012,0.00067729,0.00122361,0.00117942
900,0.00108185,0.00074587,0.00140307,0.00156331
1000,0.00144236,0.0008322,0.00160171,0.00129561
