n,naive,optimize_multi_link,optimize_recursion_func,optimize_recursion_nested_loop
100000,0.14331,0.0785671,0.104596,0.103388
200000,0.337343,0.156214,0.211754,0.199984
300000,0.479594,0.241465,0.331656,0.314881
400000,0.658473,0.315323,0.429749,0.40896
500000,0.829819,0.396546,0.543704,0.497373
600000,0.998405,0.471253,0.659689,0.616328
700000,1.17397,0.566918,0.780079,0.734305
800000,1.35692,0.674578,0.964303,0.960083
900000,1.54157,0.775818,1.17449,1.06017
1000000,1.7711,0.911589,1.33817,1.25162
