n,Serial,SSE Unaligned,SSE Aligned,AVX Unaligned,AVX Aligned
100,1,1,2,1,0
200,6,3,3,3,3
300,22,13,12,11,11
400,49,28,23,23,24
500,86,44,48,38,38
600,153,71,70,66,62
700,246,113,111,90,91
800,365,170,166,133,133
900,588,244,238,178,187
1000,900,355,341,279,239
1500,2416,1151,1201,798,806
2000,5802,2886,2847,1922,1958
2500,11257,5573,5556,3615,3708
3000,19341,9539,9553,6391,6151
3500,31293,15488,15450,9816,9827
4000,45483,22414,22589,14234,14308
4500,64195,32158,31719,20249,20170
5000,221049,108267,112261,78530,88134
